CrimeDate,CrimeCode
9/2/2015,8AO
9/2/2015,8H
9/1/2015,8H
8/31/2015,8BO
8/29/2015,8AO
8/29/2015,8EO
8/28/2015,8H
8/26/2015,8H
8/25/2015,8H
8/23/2015,8GV
8/23/2015,8BO
8/22/2015,8H
8/22/2015,8AV
8/22/2015,8AO
8/19/2015,8H
8/18/2015,8FO
8/18/2015,8AO
8/15/2015,8H
8/13/2015,8FO
8/12/2015,8H
8/10/2015,8H
8/3/2015,8H
8/2/2015,8GO
7/31/2015,8AO
7/30/2015,8FO
7/30/2015,8FO
7/30/2015,8H
7/28/2015,8J
7/27/2015,8J
7/25/2015,8J
7/24/2015,8H
7/23/2015,8H
7/21/2015,8H
7/21/2015,8H
7/20/2015,8H
7/20/2015,8J
7/17/2015,8GO
7/16/2015,8H
7/16/2015,8H
7/14/2015,8H
7/14/2015,8H
7/13/2015,8CO
7/10/2015,8H
7/7/2015,8H
7/6/2015,8AO
7/6/2015,8H
7/5/2015,8H
7/5/2015,8H
7/4/2015,8H
7/4/2015,8H
7/4/2015,8H
7/4/2015,8AO
7/3/2015,8H
7/2/2015,8H
6/30/2015,8AO
6/29/2015,8H
6/27/2015,8H
6/27/2015,8AO
6/26/2015,8H
6/25/2015,8EO
6/25/2015,8BV
6/24/2015,8J
6/24/2015,8BO
6/16/2015,8J
6/13/2015,8H
6/13/2015,8CO
6/13/2015,8AO
6/12/2015,8AO
6/9/2015,8J
6/7/2015,8AO
6/7/2015,8H
6/7/2015,8AO
6/6/2015,8H
6/5/2015,8AO
6/2/2015,8AO
6/2/2015,8AO
6/1/2015,8AO
5/31/2015,8AO
5/31/2015,8AO
5/31/2015,8J
5/30/2015,8H
5/24/2015,8H
5/24/2015,8H
5/23/2015,8H
5/23/2015,8H
5/22/2015,8H
5/22/2015,8EO
5/21/2015,8J
5/20/2015,8H
5/20/2015,8J
5/20/2015,8H
5/17/2015,8H
5/12/2015,8H
5/10/2015,8AV
5/10/2015,8H
5/10/2015,8H
5/9/2015,8H
5/8/2015,8J
5/8/2015,8AO
5/8/2015,8H
5/7/2015,8J
5/6/2015,8H
5/3/2015,8FO
5/3/2015,8J
5/2/2015,8H
5/1/2015,8H
4/30/2015,8AV
4/29/2015,8EO
4/29/2015,8H
4/29/2015,8H
4/29/2015,8EO
4/28/2015,8EO
4/28/2015,8H
4/28/2015,8EV
4/28/2015,8EO
4/28/2015,8H
4/28/2015,8EO
