CrimeDate,CrimeCode
9/4/2011,8H
9/3/2011,8H
9/2/2011,8H
9/2/2011,8J
9/1/2011,8CO
8/31/2011,8H
8/30/2011,8J
8/30/2011,8AO
8/29/2011,8H
8/29/2011,8BO
8/28/2011,8BO
8/26/2011,8H
8/26/2011,8I
8/25/2011,8H
8/25/2011,8H
8/25/2011,8H
8/22/2011,8AV
8/17/2011,8H
8/17/2011,8H
8/16/2011,8CO
8/15/2011,8AO
8/14/2011,8H
8/13/2011,8AV
8/13/2011,8H
8/12/2011,8AO
8/10/2011,8H
8/10/2011,8AO
8/9/2011,8AV
8/8/2011,8J
8/7/2011,8J
8/6/2011,8AV
8/5/2011,8AO
8/2/2011,8H
8/2/2011,8H
8/2/2011,8H
8/2/2011,8AO
8/1/2011,8H
8/1/2011,8AO
8/1/2011,8H
7/31/2011,8AV
7/31/2011,8AO
7/29/2011,8AO
7/28/2011,8AV
7/26/2011,8H
7/26/2011,8AO
7/25/2011,8H
7/24/2011,8H
7/23/2011,8EO
7/23/2011,8AO
7/23/2011,8AO
7/19/2011,8J
7/18/2011,8FO
7/18/2011,8CO
7/17/2011,8H
7/16/2011,8H
7/16/2011,8H
7/16/2011,8AO
7/13/2011,8J
7/13/2011,8H
7/7/2011,8H
7/6/2011,8H
7/5/2011,8H
7/5/2011,8H
7/4/2011,8H
7/2/2011,8J
7/2/2011,8EO
7/1/2011,8J
6/30/2011,8H
6/29/2011,8H
6/28/2011,8AO
6/28/2011,8AV
6/27/2011,8AO
6/26/2011,8H
6/26/2011,8H
6/26/2011,8H
6/25/2011,8EO
6/17/2011,8J
6/16/2011,8FO
6/15/2011,8H
6/12/2011,8H
6/11/2011,8J
6/11/2011,8J
6/11/2011,8J
6/11/2011,8J
6/11/2011,8J
6/11/2011,8I
6/9/2011,8J
6/7/2011,8H
6/7/2011,8AO
6/4/2011,8H
6/3/2011,8H
6/3/2011,8J
6/2/2011,8H
5/31/2011,8H
5/25/2011,8FO
5/23/2011,8J
5/22/2011,8H
5/21/2011,8H
5/21/2011,8GO
5/20/2011,8H
5/20/2011,8H
5/20/2011,8FO
5/20/2011,8AV
5/18/2011,8AO
5/17/2011,8J
5/14/2011,8H
5/13/2011,8H
5/9/2011,8FO
5/9/2011,8AO
5/4/2011,8EO
5/3/2011,8H
5/3/2011,8FO
5/1/2011,8J
4/30/2011,8H
4/30/2011,8H
4/28/2011,8AO
4/28/2011,8AV
4/27/2011,8H
4/27/2011,8J
4/23/2011,8H
4/20/2011,8H
4/19/2011,8BV
4/18/2011,8H
4/15/2011,8J
4/14/2011,8BO
4/14/2011,8H
4/13/2011,8H
4/10/2011,8H
4/10/2011,8H
4/8/2011,8BV
4/8/2011,8FO
4/8/2011,8H
4/4/2011,8GO
4/4/2011,8FO
4/4/2011,8AO
4/3/2011,8H
4/3/2011,8EO
4/3/2011,8H
4/2/2011,8H
4/1/2011,8FO
3/31/2011,8EO
3/31/2011,8AV
3/31/2011,8H
3/31/2011,8H
3/27/2011,8EO
3/26/2011,8J
3/25/2011,8H
3/25/2011,8AO
3/24/2011,8FO
3/24/2011,8AV
3/24/2011,8AV
3/24/2011,8AV
3/24/2011,8AV
3/23/2011,8H
3/21/2011,8FO
3/21/2011,8H
3/18/2011,8J
3/17/2011,8J
3/16/2011,8J
3/11/2011,8H
3/7/2011,8AV
3/5/2011,8AV
3/4/2011,8H
3/4/2011,8FO
3/4/2011,8FO
3/3/2011,8FO
3/3/2011,8H
3/3/2011,8AO
3/2/2011,8H
3/2/2011,8AO
3/1/2011,8H
2/28/2011,8AO
2/26/2011,8H
2/26/2011,8H
2/26/2011,8H
2/18/2011,8H
2/15/2011,8FO
2/13/2011,8AO
2/13/2011,8FO
2/10/2011,8BO
2/3/2011,8J
2/2/2011,8AO
2/2/2011,8H
1/27/2011,8H
1/24/2011,8H
1/24/2011,8H
1/22/2011,8H
1/20/2011,8H
1/19/2011,8AV
1/14/2011,8H
1/13/2011,8H
1/10/2011,8AO
1/9/2011,8H
1/7/2011,8H
1/6/2011,8FO
1/1/2011,8J
